Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Athena-Fidus,France,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),France/Italy,Government/Military,Communications,GEO,35784.0,35788.0,4.74e-05,0.05,1436.06,2/6/2014,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2014-006B,39509.0
Athenoxat-1,NR,Microspace Rapid Pvt Ltd.,Singapore,Commercial,Technology Development,LEO,532.0,550.0,0.0013,14.98,95.46,12/16/2015,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077C,41168.0
Aurora,Russia,Sputnix Ltd.,Russia,Commercial,Technology Development,LEO,583.0,618.0,0.00251,97.99,96.7,6/19/2014,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017.0
Azerspace/Africasat-1a,Azerbaijan,Ministry of Communications and Information Technologies,Azerbaijan,Government,Communications,GEO,35778.0,35794.0,0.00019,0.04,1436.08,2/7/2013,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2013-006B,39079.0
Badr 4,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35780.0,35791.0,0.00013,0.07,1436.06,11/8/2006,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526.0
Badr 5,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35834.0,35883.0,0.00058,0.06,1439.76,6/3/2010,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592.0
Badr 5A,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35605.0,35623.0,0.000214,0.03,1427.27,6/26/2010,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745.0
Badr 6,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35768.0,35805.0,0.000439,0.05,1436.1,7/7/2008,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154.0
Badr 7,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35768.0,35817.0,0.000581,0.1,1436,11/10/2015,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2015-065B,41029.0
Cosmos 2503,Russia,Ministry of Defense,Russia,Military,Earth Observation,LEO,570.0,586.0,0.00115,97.7,96.1,2/27/2015,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420.0
Cosmos 2515,NR,Ministry of Defense,Russia,Military,Earth Observation,LEO,549.0,594.0,0.00324,97.62,96.1,3/24/2016,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394.0
BeeSat-1,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,709.0,718.0,0.000635,98.3,99,9/23/2009,Technische Universität Berlin,Germany,Satish Dhawan Space Center,PSLV,2009-051C,35933.0
BeeSat-2,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,555.0,579.0,0.00173,64.8,96.01,4/19/2013,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015G,39136.0
BeeSat-3,Germany,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,554.0,581.0,0.00195,64.8,96.01,4/19/2013,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015E,39134.0
Beidou 2-12,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21460.0,21595.0,0.00242,55.16,773.19,4/28/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250.0
Beidou 2-13,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21452.0,21603.0,0.00271,55.1,773.21,4/28/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251.0
Beidou 2-14,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21462.0,21591.0,0.00231,55.0,773.1,9/18/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050A,38774.0
Beidou 2-15,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21477.0,21574.0,0.00174,55.0,773.1,9/18/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775.0
Beidou 2-16,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35775.0,35799.0,0.000285,1.84,1436.11,10/25/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2012-059A,38953.0
Beidou 2-23,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35794.0,0.000213,1.84,1436.1,6/12/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-037A,41586.0
Beidou 3I-1S,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35796.0,36781.0,0.0115,54.9,1461.81,3/30/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2015-019A,40549.0
Beidou 3I-2S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35606.0,35953.0,0.00412,55.0,1435.73,9/29/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-053A,40938.0
Beidou 3M-1S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21520.0,21549.0,0.00052,55.0,773.2,7/25/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748.0
Beidou 3M-2S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21521.0,21550.0,0.00052,55.0,773.3,7/25/2015,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749.0
Beidou 3M-3S,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21524.0,21532.0,0.000143,55.0,773.2,2/1/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-006A,41315.0
Beidou G-1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35768.0,35803.0,0.000415,1.78,1436.05,1/16/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2010-001A,36287.0
Beidou G3,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35774.0,35797.0,0.000273,1.83,1436.05,6/2/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3,2010-024A,36590.0
Beidou G4,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35764.0,35809.0,0.000534,1.43,1436.1,10/31/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2010-057A,37210.0
Beidou G5,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35799.0,0.000273,1.87,1436.15,2/24/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2012-008A,38091.0
Beidou IGSO-1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35670.0,35893.0,0.00265,55.09,1435.82,7/31/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2010-036A,36828.0
Beidou IGSO-2,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35717.0,35817.0,0.00119,55.23,1436.12,12/17/2010,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2010-068A,37256.0
Beidou IGSO-3,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35693.0,37872.0,0.0252,96.4,1435.93,4/9/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-013A,37384.0
Beidou IGSO-4,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35708.0,35879.0,0.00203,55.2,1435.1,7/26/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-038A,37763.0
Beidou IGSO-5,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35708.0,35864.0,0.00185,55.16,1436.08,12/1/2011,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2011-073A,37948.0
Beidou IGSO-6,NR,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,GEO,35676.0,35890.0,0.00254,54.97,1435.92,3/30/2016,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2016-021A,41434.0
Beidou M1,China,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,21519.0,21545.0,0.000466,55.26,773.39,4/14/2007,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2007-011A,31115.0
BeijinGalaxy-1,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),China,Civil,Earth Observation,LEO,681.0,703.0,0.00156,97.9,98.6,10/27/2005,Tsinghua University/University of Surrey,China/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890.0
Belintersat-1,NR,Belintersat,Belarus,Government,Communications,GEO,35779.0,35792.0,0.000154,0.46,1436.06,1/15/2016,Chinese Academy of Space Technology/Thales Alenia Space,China/France,Xichang Satellite Launch Center,Long March 3B,2016-001A,41238.0
BermudaSat-1,USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",USA,Commercial,Communications,GEO,35775.0,35798.0,0.000273,0.07,1436.12,7/14/2000,Space Systems/Loral,USA,Cape Canaveral,Atlas 2AS,2000-038A,26402.0
Bispectral InfraRed Detector 2 (Bird 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Germany,Government/Civil,Earth Observation/Technology Development,LEO,500.0,521.0,0.00153,97.9,94.8,10/22/2001,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959.0
BIROS,NR,German Aerospace Center (DLR),Germany,Government,Earth Observation,LEO,500.0,517.0,0.00124,97.5,94.7,6/22/2016,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,2016-040F,41604.0
BisonSat,NR,Salish Kootenai College,USA,Civil,Earth Observation/Technology Development,LEO,497.0,801.0,0.0217,64.78,97.7,10/8/2015,Salish Kootenai College,USA,Cape Canaveral,Atlas 5,2015-058E,40968.0
BKA 2,Belarus,National Academy of Sciences,Belarus,Government,Earth Observation,LEO,503.0,507.0,0.000291,97.5,94.7,7/22/2012,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708.0
Brazilsat B-2,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Military/Commercial,Communications,GEO,35776.0,35797.0,0.000249,0.84,1436.11,3/28/1995,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1995-016A,23536.0
Brazilsat B-3,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,GEO,35769.0,35803.0,0.000403,0.04,1436.07,2/4/1998,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1998-006A,25152.0
Brazilsat B-4,Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,GEO,35772.0,35800.0,0.000332,0.07,1436.09,8/17/2000,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469.0
BRISat,NR,Bank Rakyat Indonesia (BRI),Indonesia,Commercial,Communications,GEO,35702.0,35876.0,0.00206,0.07,1436.2,6/19/2016,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2016-039A,41591.0
BRITE-CA-1,NR,"University of Toronto, Institute for Aerospace Studies",Canada,Civil,Space Science,LEO,613.0,739.0,0.00894,97.97,98.27,6/19/2014,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020.0
BRITE-PL-1,Poland,BRITE Consortium,Multinational,Government,Space Science,LEO,594.0,886.0,0.0205,97.7,99.6,11/21/2013,"Space Research Center, Polish Academy of Sciences",Poland,Dombarovsky Air Base,Dnepr,2013-066R,39431.0
BRITE-PL-2,NR,BRITE Consortium,Multinational,Government,Space Science,LEO,610.0,633.0,0.00164,98.02,97.1,8/19/2014,"Space Research Center, Polish Academy of Sciences",Poland,Taiyuan Launch Center,CZ-4B,2014-049B,40119.0
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.03,1436.1,8/14/2007,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019.0
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Japan,Commercial,Communications,GEO,33066.0,35725.0,0.0326,0.07,1365.61,10/28/2010,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207.0
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Japan,Commercial,Communications,GEO,35784.0,35787.0,3.56e-05,0.05,1436.04,8/6/2011,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776.0
Bugsat-1,NR,Satellogic S.A.,Argentina,Commercial,Technology Development,LEO,570.0,617.0,0.00337,97.99,96.55,6/19/2014,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,2014-033E,40014.0
Calipso,France,Centre National d'Etudes Spatiales (CNES)/NASA,France/USA,Government,Earth Science,LEO,702.0,703.0,7.07e-05,98.2,98.8,4/28/2006,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108.0
Canopus-B,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Russia,Government,Earth Observation,LEO,501.0,505.0,0.000291,97.5,94.7,7/22/2012,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707.0
CartoSat 1,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,618.0,619.0,7.15e-05,97.9,97.1,5/5/2005,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649.0
CartoSat 2,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,632.0,635.0,0.000214,97.0,97.4,1/10/2007,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710.0
CartoSat 2A,India,Indian Space Research Organization (ISRO),India,Military,Earth Observation,LEO,624.0,643.0,0.00136,97.9,97.4,4/28/2008,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C9,2008-021A,32783.0
CartoSat 2B,India,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,622.0,645.0,0.00164,97.9,97.4,7/12/2010,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2010-035A,36795.0
CartoSat 2C,NR,Indian Space Research Organization (ISRO),India,Government,Earth Observation,LEO,501.0,519.0,0.00131,97.5,94.8,6/22/2016,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center ,PSLV XL,2016-040A,41599.0
Cassiope,NR,Canadian Space Agency,Canada,Government,Earth Science,LEO,325.0,1486.0,0.0798,81.0,103.11,9/29/2013,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265.0
CBERS 4,NR,China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil,Government,Earth Observation,LEO,738.0,748.0,0.000703,98.55,99.67,12/7/2014,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336.0
CBNT-1,NR,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Technology Development,LEO,636.0,658.0,0.00157,98.0,97.66,7/10/2015,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2015-032D,40718.0
CFESat,USA,Los Alamos National Labs (LANL),USA,Government,Technology Development,LEO,538.0,544.0,0.000434,35.4,95.5,3/9/2007,Surrey Satellite Technologies Ltd.,United Kingdom,Cape Canaveral,Atlas 5,2007-006F,30777.0
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,USA,Government,Space Science,Elliptical,9999.0,138825.0,0.797,28.5,3808.92,7/23/1999,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867.0
ChinaSat 11,China,China Satellite Communication Corp. (China Satcom),China,Commercial,Communications,GEO,35781.0,35793.0,0.000142,0.02,1436.14,5/1/2013,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2013-020A,39157.0
ChinaSat 1C,NR,China Satellite Communication Corp. (China Satcom),China,Commercial,Communications,GEO,35778.0,35796.0,0.000213,0.01,1436.12,12/9/2015,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-073A,41103.0
ChinaSat 2C,NR,China Satellite Communication Corp. (China Satcom),China,Commercial/Government,Communications,GEO,35787.0,35801.0,0.000166,0.5,1436.1,11/3/2015,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-063A,41021.0
ChinaSat 6B,China,China Satellite Communication Corp. (China Satcom),China,Commercial/Government,Communications,GEO,35777.0,35797.0,0.000237,0.05,1436.1,7/6/2007,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2007-031A,31800.0
Chuangxin 1-1,China,Chinese Academy of Sciences,China,Government,Communications,LEO,729.0,748.0,0.00134,98.5,99.6,10/21/2003,China Academy of Sciences,China,Taiyuan Launch Center,Long March 3B,2003-049B,28058.0
Chuangxin 1-2,China,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,785.0,804.0,0.00133,98.5,98.5,11/5/2008,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434.0
Chuangxin 1-3,China,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,784.0,804.0,0.0014,98.5,100.7,11/20/2011,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930.0
Chuangxin 1-4,China,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,778.0,809.0,0.00216,98.46,100.74,9/4/2014,China Academy of Sciences,China ,Jiuquan Satellite Launch Center,Long March 2D,2014-051B,40137.0
Chuangzin-3,China,Chinese Academy of Sciences,China,Government,Technology Development,LEO,665.0,672.0,0.000497,98.03,96.43,7/19/2013,China Academy of Sciences,China,Taiyuan Launch Center,Long March 2C,2013-037B,39209.0
ChubuSat 1,NR,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,506.0,538.0,0.00232,97.48,95.07,11/6/2014,Nagoya University and Daido University,Japan,Dombarovsky Air Base,Dnepr,2014-070C,40300.0
ChubuSat 2,NR,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,560.0,579.0,0.00137,31.0,96.05,2/17/2016,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012B,41338.0
ChubuSat 3,NR,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,558.0,579.0,0.00151,31.0,96,2/17/2016,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012C,41339.0
Ciel-2,Canada,Ciel Satellite Group,Canada,Commercial,Communications,GEO,35782.0,35788.0,7.12e-05,0.05,1436.05,12/10/2008,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453.0
CINEMA-1,USA,University of California-Berkeley/Imperial College-London,USA,Civil,Space Science,LEO,484.0,791.0,0.0219,64.6,97.4,9/13/2012,"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London",USA,Vandenberg AFB,Atlas 5,2012-048G,38764.0
USA 257,USA,Unknown US agency,USA,Military,Communications,GEO,35736.0,35854.0,0.0014,0.04,1436.5,9/16/2014,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2014-055A,40208.0
Cloudsat,USA,NASA/Colorado State University,USA,Government/Civil,Earth Observation,LEO,702.0,703.0,7.07e-05,98.2,98.8,4/28/2006,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107.0
COMS-1,South Korea,Korea Aerospace Research Institute (KARI),South Korea,Government,Earth Observation/Communications,GEO,35783.0,35791.0,9.49e-05,0.01,1436.1,6/26/2010,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744.0
COMSATBw-1,Germany,Armed Forces,Germany,Military,Communications,GEO,35773.0,35799.0,0.000308,0.05,1436.1,10/1/2009,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943.0
COMSATBw-2,Germany,Armed Forces,Germany,Military,Communications,GEO,35780.0,35794.0,0.000166,0.08,1436.11,5/21/2010,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2010-021B,36582.0
Condor E2,NR,Armed Forces,South Africa,Military,Earth Observation,LEO,499.0,501.0,0.000146,74.75,94.62,12/19/2014,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353.0
